,users_0,users_25,users_50,users_75,users_mean,p_users_0,p_users_25,p_users_50,p_users_75,p_users_mean,etf_0,etf_25,etf_50,etf_75,etf_mean,pot_0,pot_25,pot_50,pot_75,pot_mean,cash_0,cash_25,cash_50,cash_75,cash_mean,holdings_0,holdings_25,holdings_50,holdings_75,holdings_mean,holdings_transactions_0,holdings_transactions_25,holdings_transactions_50,holdings_transactions_75,holdings_transactions_mean,in_transactions_0,out_transactions_0,in_amount_0,out_amount_0,revenue_0,p_revenue_0,payment_proc_cost_0,in_transactions_25,out_transactions_25,in_amount_25,out_amount_25,revenue_25,p_revenue_25,payment_proc_cost_25,in_transactions_50,out_transactions_50,in_amount_50,out_amount_50,revenue_50,p_revenue_50,payment_proc_cost_50,in_transactions_75,out_transactions_75,in_amount_75,out_amount_75,revenue_75,p_revenue_75,payment_proc_cost_75,in_transactions_mean,out_transactions_75,in_amount_mean,out_amount_mean,revenue_mean,p_revenue_mean,payment_proc_cost_mean
28/02/2021,13,21,24,28,24,1,2,2,3,2,937,991,1002,1013,1002,520,980,1158,1365,1192,10442,10939,11129,11342,11161,9475,9913,10022,10132,10023,0,0,0,0,0,34,27,0,94,14,9,1,53,27,466,232,48,12,6,72,38,1153,637,72,14,10,78,44,2371,1036,110,16,16,68,38,1745,704,87,14,12
31/03/2021,16,34,40,48,42,1,3,4,4,4,925,989,1004,1021,1005,715,1653,1953,2315,2033,10815,11820,12129,12515,12213,9217,9888,10050,10209,10051,0,0,0,0,0,33,31,1,178,24,10,1,97,63,794,1428,114,25,14,111,79,1934,2073,156,30,21,131,91,3962,2702,220,35,31,114,79,2926,2089,181,31,25
30/04/2021,21,51,65,79,66,2,5,6,7,6,901,987,1007,1027,1008,845,2437,3045,3737,3145,11138,12879,13518,14251,13627,9030,9879,10076,10272,10079,0,0,0,0,0,57,30,1,228,34,13,2,133,90,1150,2276,171,37,21,160,105,2818,3053,232,47,31,195,136,5801,3903,330,57,46,168,117,4305,3201,273,48,38
31/05/2021,30,80,97,116,100,2,7,9,10,9,890,987,1010,1034,1010,1477,3640,4477,5457,4655,11995,14480,15406,16485,15577,8914,9864,10103,10339,10126,0,0,0,0,0,68,33,1,334,57,21,4,198,135,1742,3598,263,61,32,248,170,4278,4731,364,74,48,304,214,8837,6239,517,91,72,258,180,6578,5079,426,77,58
30/06/2021,36,110,135,166,141,3,10,12,15,13,885,986,1011,1039,1013,1404,5025,6229,7716,6522,12424,16413,17732,19171,17772,8868,9867,10140,10480,10452,0,0,0,0,0,89,55,2,937,92,26,8,268,186,2402,5121,369,83,45,337,234,5882,6736,507,103,66,419,296,12125,8706,719,127,100,353,249,9021,7168,593,107,81
31/07/2021,45,151,186,233,196,4,13,17,21,18,880,986,1015,1044,1016,1868,6843,8578,10702,9030,13267,18672,19894,20925,19713,8679,9949,10850,13105,11937,0,0,1,2,1,122,83,3,1664,136,35,13,377,261,3389,7383,526,119,64,473,329,8312,9645,725,148,95,602,427,17229,12570,1034,185,144,504,358,12868,10380,853,156,116
31/08/2021,74,203,254,319,270,7,18,23,29,24,871,987,1017,1049,1019,3507,9205,11700,14820,12434,13914,20017,21089,22025,20972,8659,11603,14339,17974,15327,0,1,3,5,3,172,110,3,2726,200,52,20,502,351,4566,10029,715,162,88,645,453,11312,13239,994,203,129,825,587,23608,17381,1425,256,197,689,491,17708,14335,1177,215,160
30/09/2021,90,268,340,437,364,8,24,30,39,33,858,988,1020,1055,1022,4911,12134,15522,20121,16781,12764,20712,21885,23003,21827,8634,15149,19038,24238,20444,0,3,5,7,5,219,147,5,3909,265,71,26,646,453,5943,13063,928,209,114,833,588,14691,17334,1300,265,169,1088,773,30792,23082,1885,339,260,902,644,23286,18986,1552,284,211
31/10/2021,105,353,460,594,493,9,31,41,53,44,870,988,1024,1059,1025,5580,15866,20952,27131,22609,7522,21390,22859,24371,22839,8632,19678,25610,32829,27501,0,6,8,10,8,268,192,6,5319,358,87,36,876,617,8087,17841,1269,285,156,1152,816,20123,24011,1799,368,234,1522,1083,42415,32346,2625,476,362,1255,896,32254,26489,2158,396,294
30/11/2021,103,464,605,795,657,8,41,54,71,59,849,989,1027,1065,1028,5589,20585,27340,36312,29991,6118,22103,24051,26093,24062,8948,25670,33373,44057,36541,0,8,10,13,10,334,238,7,6835,461,100,48,1106,781,10335,22540,1609,361,198,1478,1047,25618,30807,2309,474,300,1975,1409,54627,42035,3408,622,469,1623,1160,41645,34339,2794,514,380
31/12/2021,177,608,811,1080,883,14,54,72,97,79,860,992,1029,1070,1031,8631,27438,36426,49237,40275,8384,23195,25642,28384,25856,11966,33693,44791,59469,48997,2,10,13,16,13,421,292,7,8535,579,139,61,1490,1059,14134,30794,2201,488,271,2030,1435,35280,42406,3187,652,413,2744,1958,75502,58567,4732,866,651,2240,1604,57714,47516,3868,711,526
