,users_0,users_25,users_50,users_75,users_mean,p_users_0,p_users_25,p_users_50,p_users_75,p_users_mean,etf_0,etf_25,etf_50,etf_75,etf_mean,pot_0,pot_25,pot_50,pot_75,pot_mean,cash_0,cash_25,cash_50,cash_75,cash_mean,holdings_0,holdings_25,holdings_50,holdings_75,holdings_mean,holdings_transactions_0,holdings_transactions_25,holdings_transactions_50,holdings_transactions_75,holdings_transactions_mean,in_transactions_0,out_transactions_0,in_amount_0,out_amount_0,revenue_0,p_revenue_0,payment_proc_cost_0,in_transactions_25,out_transactions_25,in_amount_25,out_amount_25,revenue_25,p_revenue_25,payment_proc_cost_25,in_transactions_50,out_transactions_50,in_amount_50,out_amount_50,revenue_50,p_revenue_50,payment_proc_cost_50,in_transactions_75,out_transactions_75,in_amount_75,out_amount_75,revenue_75,p_revenue_75,payment_proc_cost_75,in_transactions_mean,out_transactions_75,in_amount_mean,out_amount_mean,revenue_mean,p_revenue_mean,payment_proc_cost_mean
2021-02-28,16.0,22.0,25.0,28.0,25.0,2.0,2.0,2.0,2.0,2.0,978.0,999.0,1005.0,1032.0,1003.0,910.0,797.0,1598.0,1329.0,1187.0,10866.0,10760.0,11661.0,11290.0,11154.0,9798.0,9883.0,10031.0,10234.0,10031.0,0.0,0.0,0.0,0.0,0.0,47.0,33.0,1159.0,537.0,60.0,10.0,8.0,64.0,39.0,1500.0,830.0,81.0,12.0,12.0,68.0,40.0,2394.0,925.0,113.0,14.0,17.0,71.0,39.0,1808.0,779.0,92.0,15.0,13.0,68.0,38.0,1723.0,688.0,86.0,14.0,12.0
2021-03-31,22.0,34.0,39.0,47.0,41.0,2.0,3.0,3.0,4.0,4.0,981.0,1006.0,1047.0,1003.0,1006.0,1233.0,1807.0,1808.0,1623.0,2023.0,11399.0,11978.0,11936.0,11797.0,12200.0,9783.0,9978.0,10385.0,10008.0,10063.0,0.0,0.0,0.0,0.0,0.0,77.0,61.0,1663.0,2039.0,128.0,17.0,19.0,88.0,65.0,2593.0,1756.0,156.0,25.0,22.0,109.0,76.0,3064.0,1981.0,181.0,29.0,25.0,124.0,96.0,1994.0,2415.0,166.0,34.0,22.0,113.0,78.0,2909.0,2078.0,180.0,30.0,25.0
2021-04-30,32.0,49.0,64.0,74.0,65.0,3.0,4.0,6.0,7.0,6.0,991.0,968.0,1001.0,1011.0,1008.0,1903.0,2493.0,3051.0,2977.0,3060.0,12377.0,13038.0,13558.0,13392.0,13536.0,9902.0,9627.0,10064.0,10124.0,10077.0,0.0,0.0,0.0,0.0,0.0,97.0,72.0,2592.0,2619.0,182.0,26.0,26.0,133.0,99.0,3421.0,2779.0,223.0,37.0,31.0,168.0,120.0,3248.0,3398.0,245.0,46.0,33.0,182.0,126.0,3536.0,3202.0,257.0,55.0,34.0,166.0,115.0,4169.0,3136.0,267.0,47.0,37.0
2021-05-31,54.0,79.0,94.0,114.0,99.0,5.0,8.0,8.0,11.0,9.0,967.0,1034.0,1049.0,1023.0,1010.0,1826.0,4534.0,4465.0,3907.0,4528.0,12435.0,15283.0,15358.0,14836.0,15425.0,9682.0,10322.0,10435.0,10271.0,10121.0,0.0,0.0,0.0,0.0,0.0,129.0,96.0,2169.0,2417.0,174.0,36.0,23.0,199.0,141.0,5004.0,4196.0,334.0,58.0,46.0,256.0,173.0,7158.0,4858.0,432.0,71.0,60.0,269.0,181.0,5061.0,5155.0,393.0,86.0,51.0,251.0,176.0,6399.0,4943.0,415.0,75.0,57.0
2021-06-30,64.0,113.0,132.0,157.0,141.0,5.0,11.0,12.0,13.0,13.0,952.0,981.0,1037.0,1059.0,1013.0,3881.0,5454.0,5383.0,6792.0,6448.0,15245.0,16823.0,16511.0,18604.0,17716.0,9543.0,9866.0,10327.0,10512.0,10412.0,0.0,0.0,0.0,0.0,0.0,176.0,136.0,5236.0,4697.0,349.0,51.0,50.0,278.0,194.0,7652.0,5643.0,484.0,85.0,66.0,336.0,238.0,12891.0,6619.0,686.0,101.0,98.0,419.0,288.0,8279.0,7882.0,608.0,124.0,81.0,355.0,250.0,9056.0,7153.0,594.0,108.0,81.0
2021-07-31,90.0,152.0,185.0,229.0,198.0,8.0,13.0,17.0,20.0,18.0,951.0,985.0,1003.0,1013.0,1015.0,5103.0,6163.0,8752.0,8486.0,9293.0,16977.0,18282.0,21409.0,20399.0,19856.0,9525.0,9815.0,10100.0,10152.0,12051.0,0.0,0.0,0.0,0.0,1.0,241.0,168.0,6841.0,5603.0,446.0,73.0,62.0,400.0,295.0,8009.0,8337.0,612.0,122.0,82.0,459.0,364.0,10302.0,9723.0,747.0,146.0,100.0,570.0,399.0,11475.0,12876.0,910.0,179.0,122.0,507.0,360.0,13290.0,10458.0,869.0,157.0,119.0
2021-08-31,124.0,207.0,261.0,301.0,271.0,11.0,17.0,23.0,29.0,24.0,958.0,961.0,1036.0,1068.0,1017.0,7238.0,10197.0,17403.0,14359.0,12383.0,19820.0,20761.0,21232.0,21905.0,21052.0,9633.0,12519.0,20462.0,15926.0,15186.0,0.0,2.0,7.0,3.0,3.0,318.0,222.0,9683.0,8036.0,629.0,98.0,89.0,565.0,390.0,9905.0,12177.0,827.0,165.0,110.0,641.0,448.0,14901.0,12925.0,1037.0,202.0,139.0,787.0,545.0,22013.0,15488.0,1369.0,244.0,188.0,685.0,491.0,17524.0,14451.0,1173.0,214.0,160.0
2021-09-30,153.0,270.0,327.0,422.0,354.0,12.0,22.0,28.0,38.0,31.0,959.0,956.0,985.0,1064.0,1016.0,11733.0,11102.0,10565.0,20200.0,16083.0,22185.0,20344.0,21582.0,22587.0,21734.0,13246.0,16107.0,13162.0,22787.0,19800.0,2.0,5.0,4.0,7.0,5.0,372.0,260.0,12038.0,8233.0,720.0,112.0,101.0,713.0,570.0,21828.0,16009.0,1354.0,219.0,189.0,842.0,593.0,22792.0,18582.0,1503.0,262.0,207.0,1003.0,732.0,22267.0,19737.0,1590.0,330.0,210.0,899.0,644.0,22805.0,19078.0,1537.0,280.0,209.0
2021-10-31,181.0,343.0,451.0,568.0,482.0,15.0,29.0,42.0,53.0,43.0,947.0,989.0,1041.0,1069.0,1020.0,8181.0,17207.0,15891.0,20084.0,21265.0,19754.0,20941.0,20168.0,18566.0,22775.0,13023.0,21686.0,23708.0,29184.0,26092.0,2.0,6.0,7.0,10.0,8.0,488.0,355.0,10826.0,13785.0,890.0,152.0,123.0,979.0,668.0,24440.0,21780.0,1680.0,293.0,231.0,1244.0,811.0,30321.0,25568.0,2042.0,365.0,279.0,1380.0,1067.0,32348.0,29055.0,2293.0,451.0,307.0,1223.0,874.0,30530.0,25417.0,2065.0,387.0,280.0
2021-11-30,238.0,463.0,591.0,792.0,644.0,20.0,38.0,54.0,69.0,58.0,944.0,976.0,1012.0,1075.0,1025.0,14207.0,17107.0,22481.0,35153.0,29437.0,24065.0,22741.0,26293.0,31241.0,24567.0,15963.0,21810.0,24991.0,36380.0,35303.0,5.0,6.0,8.0,11.0,10.0,576.0,443.0,13028.0,13332.0,971.0,180.0,132.0,1085.0,824.0,28723.0,24192.0,1937.0,350.0,265.0,1403.0,1086.0,42437.0,30908.0,2687.0,487.0,367.0,1940.0,1449.0,57827.0,37794.0,3478.0,610.0,478.0,1592.0,1129.0,41080.0,33040.0,2728.0,504.0,371.0
