,in_transactions_25,out_transactions_25,in_amount_25,out_amount_25,revenue_25,p_revenue_25,in_transactions_50,out_transactions_50,in_amount_50,out_amount_50,revenue_50,p_revenue_50,in_transactions_75,out_transactions_75,in_amount_75,out_amount_75,revenue_75,p_revenue_75
2020-11-30,63.0,42.0,1166.0823736731586,810.1712123535366,68.10407561824731,6.649834675847046,89.0,52.0,1605.4322562204734,1115.8195214988084,83.2892143264159,7.69573475035816,107.0,58.0,2117.7096580522057,1340.315146312541,100.36569552275114,8.795944871660888
2020-12-31,123.0,72.0,2254.9818407398684,1945.2221205161468,135.26939535412106,12.459952215509041,158.0,94.0,3048.193505629807,2575.946333771159,170.5330291623414,15.759890026409499,206.0,117.0,4109.588415014347,3232.4342256362847,213.23564619188693,19.65683066566983
2021-01-31,213.0,125.0,3819.806119680747,3403.624256202478,229.03011718625734,22.41755721492488,275.0,156.0,5154.7037853536585,4383.706773871722,292.4240468526829,28.16897981219043,346.0,205.0,6944.899616919861,5740.771553541706,370.74724475398506,35.135802920660076
2021-02-28,290.75,174.0,5265.534691621827,4790.975355653924,316.46148291191076,30.876035763315755,375.5,222.0,7125.547980104659,6242.263646338275,404.66804178080827,39.538364674510255,483.5,285.0,9746.608584999427,8090.469913262219,521.5571828032387,50.406667260536054
2021-03-31,460.75,273.0,8431.152385599315,7756.223267307264,508.7803888099189,50.73332049746323,605.0,363.5,11556.54600241629,10312.22266222712,658.4848443289309,64.46618684658829,793.75,470.0,16000.9219344157,13524.16757012269,863.4597335665774,83.77939148631238
2021-04-30,635.0,380.0,11664.213531182926,10780.729002651135,694.7599303332712,69.80467287198299,848.5,504.5,16161.138974210344,14451.146146367797,925.7804802732187,91.35206674535151,1133.5,677.25,22711.335392746903,19451.862706392436,1233.5585233430083,120.75763262756858
2021-05-31,926.0,555.75,17035.12954837397,15791.785565999986,1013.6201207895235,102.29031884509388,1253.5,751.0,24010.386151368344,21476.998868750245,1374.0245219130554,136.23001751631506,1702.75,1024.0,34102.05773702332,29368.987575091185,1865.9801390717953,184.00813233361913
2021-06-30,1241.0,741.75,22968.49066315704,21343.68607206255,1368.1063562881523,137.6211073322828,1700.5,1020.5,32698.059823058484,29466.450428716904,1870.7504885309909,185.6266242747974,2333.75,1407.25,46936.6263830844,40858.64524659641,2559.354147908391,249.97590079619783
2021-07-31,1735.75,1041.0,32082.198408394306,29997.11658300964,1917.4412876181982,192.25448999428437,2423.5,1466.5,46534.104894793934,42318.509356235096,2657.899846541521,265.2567075789835,3446.5,2059.0,68831.28187974938,59857.78448661564,3766.0724791722937,371.02844728251324
2021-08-31,2411.5,1441.5,44492.623073449526,41393.97176859407,2636.483580342081,266.6167089238086,3405.5,2039.0,65225.81660144863,58936.14480485787,3730.1277364778703,371.0626108093897,4882.25,2929.0,97581.87100294184,85245.9488956735,5360.67354320028,529.9972784890331
2021-09-30,3190.0,1916.25,58882.320891697615,55059.848700143135,3505.803591359453,353.01874729531653,4565.5,2741.0,87211.93639071041,79457.17680229814,4990.977270581247,496.162750543884,6641.5,3969.25,131622.81635222654,115771.09696160753,7254.211902735895,715.6816507401697
2021-10-31,4508.75,2690.75,83275.45500598203,77544.81553007127,4931.934750935622,501.68091530986476,6522.0,3921.0,125242.69196970241,113401.06992790606,7154.972375574209,710.3492198016529,9759.75,5807.75,192528.4449000145,168950.51368874536,10647.090055815252,1056.766234230406
